"Name","Race","Homeworld","Affiliation"
"C-3 PO","Droid","Unknown","rebels"
"Chewbacca","Wookie","Kashyyyk","rebels"
"Darth Vader","Human","Unknown","empire"
"Han Solo","Human","Corellia","rebels"
"Jabba the Hutt","Hutt","Unknown","neutral"
"Lando Calrissian","Human","Unknown","rebels"
"Luke Skywalker","Human","Tatooine","rebels"
"Obi-Wan Kanobi","Human","Tatooine","rebels"
"Owen Lars","Human","Tatooine","neutral"
"Princess Leia","Human","Alderaan","rebels"
"R2-D2","Droid","Unknown","rebels"
"Rancor","Rancor","Unknown","neutral"
"Yoda","Unknown","Unknown","neutral"
